NAME,ID,nbh_distri,category,Shape_Area_1,grade,redlined,AVG_WALK,Avg_Vul,AVG_POC,AVG_INC,Shape_Length,Shape_Area
CATHEDRAL PARK,31,2,Definitely Declining,1225718.84,C,0,39.33708264,52.90414622,30.64047259,55337.2077,4972.989307,5424297.812
UNIVERSITY PARK,88,2,Definitely Declining,3050784.102,C,0,44.56766822,51.25011862,35.93334236,59014.21069,9499.454838,6981456.791
PIEDMONT,70,2,Definitely Declining,2270041.236,C,0,61.47901455,66.34646131,38.54818919,58481.4933,9802.129598,6079530.009
WOODLAWN,93,2,Definitely Declining,2361099.532,C,0,70.36157988,48.30931532,30.73590003,70233.55995,6936.939019,3870553.614
CULLY,23,2,Definitely Declining,5385357.129,C,0,37.38490441,82.07180264,43.64639984,40725.00061,13912.25038,16580624.67
ARBOR LODGE,2,2,Definitely Declining,1336550.364,C,0,71.55856611,38.30733578,29.47819821,75106.43826,8607.408419,4586999.929
OVERLOOK,66,2,Definitely Declining,1714770.413,C,0,31.18076877,41.13228869,27.16796887,71036.63279,9389.191071,16822517.26
CONCORDIA,19,2,Definitely Declining,1447808.423,C,0,67.77083734,44.48702348,28.04004555,72596.9476,8177.286643,7009777.741
PARKROSE,67,1,Definitely Declining,1716456.349,C,0,36.85783977,92.37574645,44.80685784,33543.02914,6243.383998,10616590.39
SUMNER,84,1,Definitely Declining,1054556.465,C,0,35.99008067,83.04285003,47.49615401,39453.10055,5156.565662,4179036.214
HUMBOLDT,44,2,Definitely Declining,1404600.115,C,0,73.44495142,46.34462122,32.72384642,75478.12071,4988.661685,2904874.304
KING,48,2,Hazardous,1538311.915,D,1,74.05738196,53.84034193,36.76640279,66892.03662,8438.064822,3340861.22
VERNON,89,2,Hazardous,710470.8875,D,1,75.72215649,43.22723382,29.48203276,76199.34888,5781.56626,1571314.823
ROSE CITY PARK,74,3,Still Desirable,1941487.519,B,0,63.05046138,24.36339184,18.83229987,73792.33298,9273.140756,6319333.903
MC UNCLAIMED #5,0,2,Still Desirable,121134.8323,B,0,80.75041425,14.49697426,17.27177664,97976.35825,1755.603626,122803.2345
PEARL DISTRICT,69,4,Commercial,1263153.322, ,0,66.88873571,30.58783776,26.04643502,101608.4944,6024.061273,2350872.681
MONTAVILLA,58,3,Definitely Declining,2482645.002,C,0,67.8190081,58.73828582,35.17617576,51215.43443,12177.4145,11492736.2
LAURELHURST,49,3,Still Desirable,3029925.435,B,0,69.58447362,2.813929773,13.5257874,103776.4352,9558.336125,3524160.612
KERNS,47,3,Hazardous,2430338.041,D,1,71.76508598,48.07619721,27.72663287,53312.88826,14149.99557,4361259.991
NORTH TABOR,16,3,Definitely Declining,1095451.621,C,0,61.02253659,37.49036316,20.20425286,61360.38699,5869.734428,3088448.672
OLD TOWN,65,4,Commercial,813563.833, ,0,68.9128145,78.27966043,26.27633802,34304.29928,4203.416461,1481056.376
BUCKMAN,14,3,Commercial,3208304.085, ,0,77.96185285,52.02353467,26.40798463,54476.32949,17119.92256,6087635.313
PORTLAND DOWNTOWN,24,4,Commercial,1878604.43, ,0,68.58321777,64.43072533,31.36275031,59765.07097,10589.13458,4972643.691
MT. TABOR,80,3,Still Desirable,2213950.428,B,0,64.4921606,26.29146912,22.08589485,68810.62319,8491.178322,8430676.744
SUNNYSIDE,86,3,Definitely Declining,1282340.82,C,0,81.99043811,31.85777756,17.58602463,66620.27429,7232.303505,3151877.614
SOUTH PORTLAND,20,4,Industrial,1629956.275, ,0,47.90562371,35.40481367,26.94253803,73947.1004,11170.9098,8973133.681
HOMESTEAD,42,4,Definitely Declining,820499.5759,C,0,34.1352431,31.01538171,26.41657579,85211.98894,3760.804795,4280944.198
SOUTH TABOR,60,3,Definitely Declining,2735095.689,C,0,66.83720791,40.72092267,25.66542525,64909.98557,6908.410748,4213622.724
BROOKLYN,13,"3,4",Definitely Declining,1625516.235,C,0,35.26106095,24.09466756,17.71409385,62996.80377,6224.12754,9047680.843
CRESTON-KENILWORTH,21,3,Definitely Declining,1552485.589,C,0,72.9789624,57.20466038,30.15113505,54548.14006,7198.733033,4230284.59
HILLSDALE,39,4,Still Desirable,1997295.361,B,0,47.14588919,19.82971636,20.10608992,84954.57734,11932.57681,9865295.977
FOSTER-POWELL,30,3,Definitely Declining,3561518.393,C,0,72.14356224,53.89298802,35.19878975,56556.13494,10188.14772,4689851.33
MT. SCOTT-ARLETA,59,3,Definitely Declining,3771016.958,C,0,69.20360776,47.97715797,27.98648559,59194.6962,13982.05424,4551294.866
SELLWOOD-MORELAND,78,4,Definitely Declining,3730710.714,C,0,49.02634455,24.95374881,16.91228102,59686.06963,8747.618972,10965311.82
HAYHURST,36,4,Still Desirable,1311649.74,B,0,43.06988294,32.51043244,23.29269523,76347.98886,5750.970706,6017254.395
MULTNOMAH,61,4,Still Desirable,1974120.067,B,0,48.85801488,39.24756891,25.39284121,66284.48784,7590.547257,7598194.066
BRENTWOOD-DARLINGTON,10,3,Definitely Declining,9102011.103,C,0,53.33926531,74.70202169,34.12803016,44974.49507,12895.71766,9229278.176
SOUTH BURLINGAME,79,4,Still Desirable,977435.9957,B,0,49.75403925,16.23117338,15.56462277,83472.46225,7440.960034,2238744.628
MC UNCLAIMED #11,0,4,Best,94394.65118,A,0,17.17786239,28.03027606,28.16666639,99642.70355,1943.820092,3318922.202
COLLINS VIEW,17,4,Best,805284.0448,A,0,23.93387081,27.99748029,28.4645948,100459.7175,5331.475432,4574107.78
MC UNCLAIMED #13,0,4,Best,448300.8505,A,0,10.97429691,28,28.96437761,99432.21966,4513.034941,3431726.299
